Location,81_Order,56_Order,Case_counts_WHO,Sequence_count,Pop_Size,pdensMN,distances_jumps_from,distances_jumps_to,popsizes_jumps_from,popsizes_jumps_to,gravity_jumps_from,gravity_jumps_to,admin_jumps_from,admin_jumps_to,gravity+admin_jumps_from,jumps,introductions,,cluster_size_mean,cluster_size_mean_95%_CI,cluster_size_upper_95%_mean,persistence_days_mean,persistence_days_95%_CI,persistence_days_upper_95%_mean
Beyla,44,37,52,4,218698,17.35962799,0.543139245,1.60914226,0.522202959,3.723039128,0.271231848,1.408029693,1.377459288,2.993966754,0.298440912,1.334092696,1.097679112,,5.121851852,"[2.5,6]",5.176252525,49.98605687,"[16.84681759,81.01738688]",23.30833028
Bo,58,51,450,13,552742,98.34096105,2.721862028,8.805101825,3.154038444,10.28384033,3.769630468,15.87577321,1.223421643,7.057560754,3.970564083,20.2811222,8.832391524,,2.002979715,"[1.583333333,2.428571429]",4.704489899,13.5409561,"[6.660368413,22.307059]",28.02539506
Boffa,16,16,52,0,195019,37.96029552,0.052180126,4.914122256,0.012121393,3.286229131,0.012022398,4.396237673,0.107464607,3.026821628,0.021650054,4.008905826,0.017558022,,1,"[1,1]",1,-3.35E-05,"[-7.3E-05,0.0001898]",-7.3E-05
Boke,17,17,36,18,465824,43.4277715,1.149550609,2.03722896,2.242411405,8.530938884,1.045936593,4.259355656,2.62411571,2.961459203,1.498497314,4.806006482,1.72431887,,11.89888047,"[9,18]",16.17143434,43.76372953,"[25.70908694,98.17920845]",46.94745481
Bombali,53,46,1212,108,443868,53.49341014,32.26708363,10.01914194,32.63557485,7.524383666,35.85896785,14.82646647,21.9747234,6.912539943,38.30342476,18.00009425,15.47961655,,9.159394444,"[6.947368421,12.13863636]",41.30913636,59.6693058,"[43.58172547,77.92368089]",201.0785358
Bomi,5,5,220,5,124080,58.63640056,0.991014249,6.283244025,0.299462426,1.999510807,0.284264268,3.8441989,0.565314129,1.965605521,0.202773898,3.059223546,4.523410696,,1.336074194,"[1.166666667,1.75]",2.185772727,8.837235052,"[1.24401617,23.14086805]",4.719519925
Bong,6,6,219,2,334921,39.7047938,0.487657053,3.538291973,0.465406227,5.952608868,0.348316887,5.129225505,0.271067223,1.992224773,0.243615316,4.849685169,2.41765893,,1.107805676,"[1,1.5]",1.223479798,2.968564605,"[7.30001E-06,20.90437604]",8.6505E-05
Bonthe,59,52,5,1,148892,42.53761165,0.163231122,6.796628389,0.020029618,2.443473348,0.024430623,3.597923799,0.16355387,7.125434911,0.028535561,3.865152099,1.139051463,,1.010159933,"[1,1]",1.01969697,0.166163832,"[-0.00011315,3.1025E-05]",-0.00011315
Conakry,21,19,630,73,1513554,3817.499976,24.58587127,12.19087289,63.37958984,26.80110966,64.40617565,33.21222967,17.53674855,2.52642779,61.84326999,22.73643769,21.76135217,,4.361176439,"[3.173913043,5.692307692]",15.97462121,40.62243957,"[19.92515232,65.74478861]",75.6445168
Coyah,31,28,258,26,108104,89.11361234,14.26906354,18.01882623,1.783186215,1.71354257,5.332485982,13.36715623,8.725819338,2.77938643,4.85618871,8.595329424,15.96700303,,1.72223162,"[1.3,2.363636364]",4.690161616,7.508081417,"[2.445694413,21.29985756]",11.98331608
