Location,XML_Order,ID_0,ISO,NAME_0,ID_1,NAME_1,VARNAME_1,TYPE_1,ID_2,NAME_2,VARNAME_2,TYPE_2,Location_Admin_Level,Pop_Centroid_X,Pop_Centroid_Y,Case_counts_WHO,Sequence_count,Area_km_2,Pop_Size,geconMN,geconMIN,geconMAX,geconSTD,pdensMN,langV1,langV2,langV3,langV4,langV5,langV6,langV7,langV8,langV9,langV10,langV11,langV12,langV13,langV14,langV15,langV16,langV17,tt50kMN,tt100kMN,tt500kMN,altMN,tempMN,tmpssMN,precMN,precssMN,pre01MN,pre02MN,pre03MN,pre04MN,pre05MN,pre06MN,pre07MN,pre08MN,pre09MN,pre10MN,pre11MN,pre12MN,hum01MN,hum02MN,hum03MN,hum04MN,hum05MN,hum06MN,hum07MN,hum08MN,hum09MN,hum10MN,hum11MN,hum12MN
Beyla,44,96,GIN,Guinea,8,Nzérékoré,N'Zérékoré,Region,29,Beyla,,Préfecture,2,-8.26712590,8.87167806,52,4,12501.08,218698,0.111588459,0.031435624,0.234132677,0.053450661,17.35962799,0,0.974063791,0,0,0,0,0,0.000270874,0.025665335,0,0,0,0,0,0,0,0,317.0648111,323.5442909,327.784979,611.8232426,245.0072464,1086.935324,1667.531627,71.29229311,7.084210496,24.67105263,57.64999982,113.921052,144.2552625,192.6894736,267.397369,331.5789482,298.976316,150.1421059,49.8921052,13.21315783,17.49473697,16.2026316,13.70263157,12.15789476,10.92631578,9.831579008,8.776315789,8.573684165,9.478947414,10.05263158,12.89210528,15.75789474
Boffa,16,96,GIN,Guinea,1,Boké,,Region,1,Boffa,,Préfecture,2,-14.02959186,10.18261895,52,0,5228.01,195019,0.188194448,0.157588497,0.283678561,0.02713278,37.96029552,0.212815022,0,0.786690825,0,0.000494153,0,0,0,0,0,0,0,0,0,0,0,0,173.3915301,252.2844394,252.328087,79.98369742,291.4735898,1742.642321,3077.463971,124.1243887,0.238461543,0.538461541,2.938461524,16.4076921,123.7999995,316.9307674,741.9000009,792.5769231,515.1923147,308.5923086,76.26923136,5.476923136,12.23846157,12.00000007,11.30769231,10.73846142,9.49230781,8.038461575,6.415384623,5.123076806,7.007692374,8.123077026,9.676923165,11.34615385
Boke,17,96,GIN,Guinea,1,Boké,,Region,2,Boké,,Préfecture,2,-14.27443938,10.94428678,36,18,10857.49,465824,0.190778172,0.140468806,0.2910541,0.034491379,43.4277715,0.1823326,0.15403961,0.388714241,0.030100597,0.244812952,0,0,0,0,0,0,0,0,0,0,0,0,250.5601116,332.5604992,343.4860088,87.72278461,274.1208535,1428.635882,2453.652391,120.410528,0.075000001,0.284375009,0.718750006,6.75,93.45625043,246.6156235,503.1843719,614.0531206,457.1375008,286.0437489,62.62187493,2.543749996,13.90000001,13.95000008,13.12500012,12.32500002,10.77812502,8.824999988,6.874999985,5.418749988,7.475000009,8.662499994,10.91562495,12.87812504
Conakry,21,96,GIN,Guinea,2,Conakry,,Region,6,Conakry,,Préfecture,2,-13.57153701,9.62665637,630,73,421.14,1513554,0.343707673,0.319143772,0.392790496,0.012962524,3817.499976,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.28947368,60.28947368,60.28947368,22.90123457,275.4650206,1220.49177,3743.331276,124.1337449,0.850000024,1.400000036,7.700000048,28.80000019,145.8000031,387.5,1000,991.9500122,566.5,306.3500061,80.75,10.75,10.94999981,10.35000038,9.75,9.350000381,8.450000286,7.400000095,6.049999952,5.099999905,6.649999857,7.799999952,8.699999809,10.14999962
Coyah,31,96,GIN,Guinea,5,Kindia,,Region,16,Coyah,,Préfecture,2,-13.38757886,9.70940694,258,26,1292.18,108104,0.355604019,0.315906465,0.39543575,0.01902441,89.11361234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.1645983,165.9954278,168.0927498,163.6505552,273.8040496,1487.161332,3332.900065,118.451339,0.950000003,1.599999994,9.100000143,35.1500001,156.1500015,353.6000061,856.0249939,863.0250092,515.8249969,295.0999985,76.94999886,9.924999952,11.625,11.04999971,10.32499981,9.725000143,8.674999952,7.625,6.25,5.199999928,6.899999976,8.050000191,9.225000143,10.9000001
Dabola,22,96,GIN,Guinea,3,Faranah,,Region,7,Dabola,,Préfecture,2,-11.10827719,10.73557986,15,0,5244.62,156599,0.161506322,0.082795605,0.262595773,0.037297028,29.8127719,0,0.660992452,0,0.339007548,0,0,0,0,0,0,0,0,0,0,0,0,0,275.3312982,331.125482,333.188464,600.6103792,249.3173201,1934.871305,1476.990681,96.37998072,0.806666663,6.686666663,18.08000018,52.72666651,129.2399994,197.6733327,266.3399994,331.2533366,295.1,170.3133331,30.23333346,4.220000045,16.25999985,15.98000011,14.58666662,12.91333338,11.08666668,9.606666629,8.093333435,6.640000025,8.966666667,10.4333334,13.41333326,16.06666673
Dalaba,41,96,GIN,Guinea,7,Mamou,,Region,26,Dalaba,,Préfecture,2,-12.14267291,10.91422773,10,3,3111.07,178343,0.309601652,0.134752482,0.5662148,0.109957548,57.94295826,0,0,0.002978608,0.997021392,0,0,0,0,0,0,0,0,0,0,0,0,0,191.5666667,203.0311653,203.6392954,779.3326105,235.8205476,1589.547845,1764.308485,97.34779073,0.840000015,3.289999986,11.88000002,49.82000008,147.6400009,214.7899963,332.2600006,405.4999969,325.8100006,178.8699997,41.97999973,3.870000005,15.41000004,15.11999998,13.9000001,12.36999998,10.67999992,9.330000019,7.710000038,5.410000038,8.559999943,9.870000172,12.4999999,15.15
Dinguiraye,23,96,GIN,Guinea,3,Faranah,,Region,8,Dinguiraye,,Préfecture,2,-10.89752739,11.38408556,1,0,11503.84,178550,0.056796238,0.037394907,0.134218112,0.017090455,15.43687174,0,0.840762935,0.020315697,0.138921368,0,0,0,0,0,0,0,0,0,0,0,0,0,282.5474261,330.0372399,359.4156992,475.59375,259.9898511,2137.810529,1341.789209,108.8936186,0.090909092,2.245454534,6.266666694,26.59393955,87.45151543,175.048485,266.8666706,348.6030301,282.1999983,125.2151515,14.76363633,1.654545441,16.27272733,16.21818207,15.07878795,13.53030303,11.77878784,10.09696969,8.424242366,6.93030301,9.224242442,10.9818182,14.89393942,16.7333333
Dubreka,32,96,GIN,Guinea,5,Kindia,,Region,17,Dubréka,,Préfecture,2,-13.62517021,10.07994391,167,22,3808.28,273945,0.274719099,0.201387197,0.352820635,0.034555125,72.34002192,0.058731924,0,0.938153504,0.003114572,0,0,0,0,0,0,0,0,0,0,0,0,0,157.6986271,206.9238264,219.385961,164.4110075,278.0217488,1507.774523,3055.045717,118.6553484,0.61666667,1.108333334,6.950000008,30.375,147.7000008,321.4083328,729.4833272,768.399999,488.5749944,292.8416672,76.85833232,7.183333278,12.4666667,12.0666666,11.25833329,10.50833337,9.299999952,8.01666673,6.516666691,5.116666555,7.166666667,8.350000064,9.866666635,11.75833344
Faranah,24,96,GIN,Guinea,3,Faranah,,Region,9,Faranah,,Préfecture,2,-10.73594491,10.04450225,88,8,12898.26,187820,0.161512806,0.120185442,0.252566934,0.032079732,14.47571296,0.061017171,0.727225062,0.199305282,0.012452484,0,0,0,0,0,0,0,0,0,0,0,0,0,247.9827067,263.006616,324.13684,495.0383834,252.1237964,1696.809458,1623.584463,87.87928211,3.044736845,9.644736867,29.48684206,80.844737,163.2947356,228.2947368,265.2289433,331.3184204,321.4315796,213.8026304,54.90000012,6.82368419,16.37368416,16.03684212,14.50789477,12.71578949,10.8631579,9.468421058,8.060526396,7.344736815,8.984210516,10.34473688,12.75263154,15.56052632
