reference,doi,from,to,platform,SLE,GIN,LBR,unknown,total,notes,publication,data_release,,,,
Arias et al,10.1093/ve/vew016,02/12/2014,12/09/2015,Ion Torrent ,484,0,0,0,484,,2016-06-22,2015-06-01,2015-07-02,,,
Baize et al,10.1056/NEJMoa1404505,17/03/2014,20/03/2014,?,0,3,0,0,3,,2015-04-16,2015-04-18,,,,
Bell et al ,,25/08/2014,12/03/2015,Illumina,3,0,0,0,3,repat,,,,,,
Capobianchi et al,,19/02/2015,19/02/2015,Sanger,1,0,0,0,1,repat,,,,,,
Carroll et al,10.1038/nature14594,27/03/2014,31/01/2015,Illumina,6,149,22,2,179,,2015-06-17,2015-05-11,,,,
Castilletti et al,,25/11/2014,25/11/2014,Sanger,1,0,0,0,1,repat,,,,,,
Gire et al,10.1126/science.1259657,25/05/2014,18/06/2014,Illumina,78,0,0,0,78,,2014-08-28,2015-06-30,,,,
Hoenen et al,,23/10/2014,12/11/2014,Sanger,0,2,0,0,2,export,,,,,,
Kugelman et al,10.3201/eid2107.150522,01/10/2014,14/02/2015,Illumina,0,0,23,0,23,,2015-07-21,2015-03-30,,,,
Ladner et al,10.1016/j.chom.2015.11.008,23/06/2014,04/02/2015,Illumina,0,0,141,0,141,,2015-12-09,2015-11-24,,,,
Park et al,10.1016/j.cell.2015.06.007,16/06/2014,26/12/2014,Illumina,232,0,0,0,232,,2015-06-18,2014-12-09,2014-12-15,2014-12-25,2015-01-30,2015-03-26
Quick et al,10.1038/nature16996,09/03/2015,24/10/2015,MinION,0,126,0,0,126,,2016-02-03,2015-08-05,2015-08-12,2015-09-03,2015-10-04,2015-11-04
Schibler et al,,21/11/2014,21/11/2014,Illumina,1,0,0,0,1,repat,,,,,,
Simon-Loriere et al,10.1038/nature14612,24/07/2014,25/10/2014,Illumina,0,88,0,0,88,,2015-06-24,2015-05-26,,,,
Smits et al,10.2807/1560-7917.ES.2015.20.40.30035,13/01/2015,11/07/2015,Ion Torrent,49,0,0,0,49,,2015-10-08,2015-08-11,,,,
Tong et al,10.1038/nature14490,25/09/2014,11/11/2014,IonTorrent,175,0,0,0,175,,2015-05-13,2015-04-24,,,,
Whitmer et al,,03/08/2014,26/09/2014,Illumina,1,0,2,0,3,repat,,,,,,
Wiley et al,,27/08/2014,25/11/2014,?,0,0,21,0,21,,,2016-04-06,,,,
,,,,,1031,368,209,2,1610,,,,,,,
