location	country	normPC1	normPC2
Bomi	LBR	0.0734101768	0.2631503624
Bong	LBR	0.2393508771	0.6786575531
Gbarpolu	LBR	0.0564253128	0.8284636112
GrandCapeMount	LBR	0	0
GrandBassa	LBR	0.3674424368	0.0926651659
GrandGedeh	LBR	0.6963562042	0.8706727543
GrandKru	LBR	0.8928130238	0.2055977367
Lofa	LBR	0.0682669368	1
Margibi	LBR	0.2544083095	0.1347843719
Maryland	LBR	1	0.3455936987
Montserrado	LBR	0.1804979145	0.0438951245
Nimba	LBR	0.4970488932	0.8039194434
RiverCess	LBR	0.4983989872	0.1955700687
RiverGee	LBR	0.9101690343	0.6446442524
Sinoe	LBR	0.6720052567	0.0666493773
Kenieba	MLI	0	0.3137243783
Kita	MLI	0.4838572465	0.9758193334
Kangaba	MLI	0.911258858	0.4271809899
Kati	MLI	0.9634066037	1
Yanfolila	MLI	1	0
Kedougou	SEN	0.8475625572	0.249936647
Salemata	SEN	0.5625906533	0
Saraya	SEN	1	0.930260353
Velingara	SEN	0.0784684084	0.1358602636
Tambacounda	SEN	0	1
Gabu	GNB	1	1
Tombali	GNB	0	0
SanPedro	CIV	1	0.4544485535
Folon	CIV	0	0.7610417347
Kabadougou	CIV	0.1044613038	0
Cavally	CIV	0.6281486669	0.6100897229
Tonkpi	CIV	0.4763346541	0.6088645726
Bafing	CIV	0.3197376	1
Kailahun	SLE	1	0.4335737338
Kenema	SLE	0.8892865445	0.3140597288
Kono	SLE	0.8468582744	0.6942249141
Bombali	SLE	0.4000712142	0.6089238927
Kambia	SLE	0.0284236871	0.5519094653
Koinadugu	SLE	0.476644826	1
PortLoko	SLE	0.243644014	0.4303450485
Tonkolili	SLE	0.4025469487	0.3934442409
Bo	SLE	0.6642923789	0.2589415237
Bonthe	SLE	0.5534808794	0.0263386612
Moyamba	SLE	0.5117806656	0.2644723541
Pujehun	SLE	0.7661303852	0
WesternRural	SLE	0.0401493675	0.2127483301
WesternUrban	SLE	0	0.2081154513
Boffa	GIN	0.0843289836	0.0855552737
Boke	GIN	0	0.2500389531
Fria	GIN	0.1348214294	0.1881775212
Gaoual	GIN	0.0529567923	0.5582276155
Koundara	GIN	0.0054535874	0.7117184894
Conakry	GIN	0.1843187554	0
Dabola	GIN	0.4495323064	0.5877947388
Dinguiraye	GIN	0.4354159154	0.7796268357
Faranah	GIN	0.5467098004	0.4571064197
Kissidougou	GIN	0.6904728658	0.3175862629
Kerouane	GIN	0.7988758927	0.4244691939
Kankan	GIN	0.7211860894	0.7219333171
Kouroussa	GIN	0.6249903191	0.7176700932
Mandiana	GIN	0.6937911243	0.9201524149
Siguiri	GIN	0.6701240129	1
Coyah	GIN	0.2041294098	0.0438804261
Dubreka	GIN	0.1468026999	0.1092631406
Forecariah	GIN	0.2645307947	0.0105564691
Kindia	GIN	0.2546432587	0.1965452555
Telimele	GIN	0.1738103549	0.391558886
Koubia	GIN	0.2849720753	0.7082826399
Lelouma	GIN	0.1877193259	0.5655718944
Labe	GIN	0.249209317	0.5910341752
Mali	GIN	0.1976086192	0.78564391
Tougue	GIN	0.3382509061	0.7266537608
Dalaba	GIN	0.2953246384	0.5056899006
Mamou	GIN	0.3392341492	0.3733834648
Pita	GIN	0.2281028754	0.4403159168
Beyla	GIN	0.964387396	0.4622316042
Gueckedou	GIN	0.7286883483	0.1521558399
Lola	GIN	1	0.1561644751
Macenta	GIN	0.8197698478	0.22878395
Nzerekore	GIN	0.9631581595	0.1084672466
Yamou	GIN	0.9308871558	0.0362687352
