country,district,standard,2013-Dec-30,2014-Jan-06,2014-Jan-13,2014-Jan-20,2014-Jan-27,2014-Feb-03,2014-Feb-10,2014-Feb-17,2014-Feb-24,2014-Mar-03,2014-Mar-10,2014-Mar-17,2014-Mar-24,2014-Mar-31,2014-Apr-07,2014-Apr-14,2014-Apr-21,2014-Apr-28,2014-May-05,2014-May-12,2014-May-19,2014-May-26,2014-Jun-02,2014-Jun-09,2014-Jun-16,2014-Jun-23,2014-Jun-30,2014-Jul-07,2014-Jul-14,2014-Jul-21,2014-Jul-28,2014-Aug-04,2014-Aug-11,2014-Aug-18,2014-Aug-25,2014-Sep-01,2014-Sep-08,2014-Sep-15,2014-Sep-22,2014-Sep-29,2014-Oct-06,2014-Oct-13,2014-Oct-20,2014-Oct-27,2014-Nov-03,2014-Nov-10,2014-Nov-17,2014-Nov-24,2014-Dec-01,2014-Dec-08,2014-Dec-15,2014-Dec-22,2014-Dec-29,2015-Jan-05,2015-Jan-12,2015-Jan-19,2015-Jan-26,2015-Feb-02,2015-Feb-09,2015-Feb-16,2015-Feb-23,2015-Mar-02,2015-Mar-09,2015-Mar-16,2015-Mar-23,2015-Mar-30,2015-Apr-06,2015-Apr-13,2015-Apr-20,2015-Apr-27,2015-May-04,2015-May-11,2015-May-18,2015-May-25,2015-Jun-01,2015-Jun-08,2015-Jun-15,2015-Jun-22,2015-Jun-29,2015-Jul-06,2015-Jul-13,2015-Jul-20,2015-Jul-27,2015-Aug-03,2015-Aug-10,2015-Aug-17,2015-Aug-24,2015-Aug-31,2015-Sep-07,2015-Sep-14,2015-Sep-21,2015-Sep-28,2015-Oct-05,2015-Oct-12,2015-Oct-19,2015-Oct-26,2015-Nov-02,2015-Nov-09,2015-Nov-16
GIN,BEYLA,Beyla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,4,4,2,17,7,4,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,BOFFA,Boffa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,1,0,4,3,1,2,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,BOKE,Boke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1,1,1,3,6,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,CONAKRY,Conakry,0,0,0,0,0,0,0,0,0,1,1,0,11,10,8,9,2,1,0,1,2,4,7,4,0,5,1,0,0,17,1,3,5,11,10,3,15,12,34,17,9,17,7,12,19,3,7,15,19,22,27,26,29,14,4,8,6,23,13,7,17,13,27,11,19,8,6,2,0,0,0,0,0,0,2,1,1,1,1,9,13,4,1,1,2,3,1,1,0,3,0,0,0,1,0,0,0,0,0
GIN,COYAH,Coyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,2,2,26,7,8,2,9,6,11,17,18,19,19,13,4,8,3,1,2,1,5,8,7,8,21,7,8,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,DABOLA,Dabola,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,DALABA,Dalaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,DINGUIRAYE,Dinguiraye,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,DUBREKA,Dubreka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,15,1,0,0,0,0,0,0,0,1,0,0,6,3,6,6,3,20,16,6,5,0,1,7,11,1,3,5,2,0,3,2,0,0,1,0,1,17,3,4,2,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GIN,FARANAH,Faranah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,10,30,4,8,12,0,3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
