locA	locB	share border	is international
Kedougou	Salemata	1	0
Kedougou	Saraya	1	0
Kedougou	Velingara	0	0
Kedougou	Tambacounda	1	0
Kedougou	Kenieba	0	1
Kedougou	Kita	0	1
Kedougou	Kangaba	0	1
Kedougou	Kati	0	1
Kedougou	Yanfolila	0	1
Kedougou	SanPedro	0	1
Kedougou	Folon	0	1
Kedougou	Kabadougou	0	1
Kedougou	Cavally	0	1
Kedougou	Tonkpi	0	1
Kedougou	Bafing	0	1
Kedougou	Bomi	0	1
Kedougou	Bong	0	1
Kedougou	Gbarpolu	0	1
Kedougou	GrandCapeMount	0	1
Kedougou	GrandBassa	0	1
Kedougou	GrandGedeh	0	1
Kedougou	GrandKru	0	1
Kedougou	Lofa	0	1
Kedougou	Margibi	0	1
Kedougou	Maryland	0	1
Kedougou	Montserrado	0	1
Kedougou	Nimba	0	1
Kedougou	RiverCess	0	1
Kedougou	RiverGee	0	1
Kedougou	Sinoe	0	1
Kedougou	Boffa	0	1
Kedougou	Boke	0	1
Kedougou	Fria	0	1
Kedougou	Gaoual	0	1
Kedougou	Koundara	0	1
Kedougou	Conakry	0	1
Kedougou	Dabola	0	1
Kedougou	Dinguiraye	0	1
Kedougou	Faranah	0	1
Kedougou	Kissidougou	0	1
Kedougou	Kerouane	0	1
Kedougou	Kankan	0	1
Kedougou	Kouroussa	0	1
Kedougou	Mandiana	0	1
Kedougou	Siguiri	0	1
Kedougou	Coyah	0	1
Kedougou	Dubreka	0	1
Kedougou	Forecariah	0	1
Kedougou	Kindia	0	1
Kedougou	Telimele	0	1
Kedougou	Koubia	0	1
Kedougou	Lelouma	0	1
Kedougou	Labe	0	1
Kedougou	Mali	1	1
Kedougou	Tougue	0	1
Kedougou	Dalaba	0	1
Kedougou	Mamou	0	1
Kedougou	Pita	0	1
Kedougou	Beyla	0	1
Kedougou	Gueckedou	0	1
Kedougou	Lola	0	1
Kedougou	Macenta	0	1
Kedougou	Nzerekore	0	1
Kedougou	Yamou	0	1
Kedougou	Kailahun	0	1
Kedougou	Kenema	0	1
Kedougou	Kono	0	1
Kedougou	Bombali	0	1
Kedougou	Kambia	0	1
Kedougou	Koinadugu	0	1
Kedougou	PortLoko	0	1
Kedougou	Tonkolili	0	1
Kedougou	Bo	0	1
Kedougou	Bonthe	0	1
Kedougou	Moyamba	0	1
Kedougou	Pujehun	0	1
Kedougou	WesternRural	0	1
Kedougou	WesternUrban	0	1
Kedougou	Gabu	0	1
Kedougou	Tombali	0	1
Salemata	Saraya	0	0
Salemata	Velingara	0	0
Salemata	Tambacounda	1	0
Salemata	Kenieba	0	1
Salemata	Kita	0	1
Salemata	Kangaba	0	1
Salemata	Kati	0	1
Salemata	Yanfolila	0	1
Salemata	SanPedro	0	1
Salemata	Folon	0	1
Salemata	Kabadougou	0	1
Salemata	Cavally	0	1
Salemata	Tonkpi	0	1
Salemata	Bafing	0	1
Salemata	Bomi	0	1
Salemata	Bong	0	1
Salemata	Gbarpolu	0	1
Salemata	GrandCapeMount	0	1
Salemata	GrandBassa	0	1
Salemata	GrandGedeh	0	1
Salemata	GrandKru	0	1
Salemata	Lofa	0	1
Salemata	Margibi	0	1
Salemata	Maryland	0	1
Salemata	Montserrado	0	1
Salemata	Nimba	0	1
Salemata	RiverCess	0	1
Salemata	RiverGee	0	1
Salemata	Sinoe	0	1
Salemata	Boffa	0	1
Salemata	Boke	0	1
Salemata	Fria	0	1
Salemata	Gaoual	0	1
Salemata	Koundara	1	1
Salemata	Conakry	0	1
Salemata	Dabola	0	1
Salemata	Dinguiraye	0	1
Salemata	Faranah	0	1
Salemata	Kissidougou	0	1
Salemata	Kerouane	0	1
Salemata	Kankan	0	1
Salemata	Kouroussa	0	1
Salemata	Mandiana	0	1
Salemata	Siguiri	0	1
Salemata	Coyah	0	1
Salemata	Dubreka	0	1
Salemata	Forecariah	0	1
Salemata	Kindia	0	1
Salemata	Telimele	0	1
Salemata	Koubia	0	1
Salemata	Lelouma	0	1
Salemata	Labe	0	1
Salemata	Mali	1	1
Salemata	Tougue	0	1
Salemata	Dalaba	0	1
Salemata	Mamou	0	1
Salemata	Pita	0	1
Salemata	Beyla	0	1
Salemata	Gueckedou	0	1
Salemata	Lola	0	1
Salemata	Macenta	0	1
Salemata	Nzerekore	0	1
Salemata	Yamou	0	1
Salemata	Kailahun	0	1
Salemata	Kenema	0	1
Salemata	Kono	0	1
Salemata	Bombali	0	1
Salemata	Kambia	0	1
Salemata	Koinadugu	0	1
Salemata	PortLoko	0	1
Salemata	Tonkolili	0	1
Salemata	Bo	0	1
Salemata	Bonthe	0	1
Salemata	Moyamba	0	1
Salemata	Pujehun	0	1
Salemata	WesternRural	0	1
Salemata	WesternUrban	0	1
Salemata	Gabu	0	1
Salemata	Tombali	0	1
Saraya	Velingara	0	0
Saraya	Tambacounda	1	0
Saraya	Kenieba	1	1
Saraya	Kita	0	1
Saraya	Kangaba	0	1
Saraya	Kati	0	1
Saraya	Yanfolila	0	1
Saraya	SanPedro	0	1
Saraya	Folon	0	1
Saraya	Kabadougou	0	1
Saraya	Cavally	0	1
Saraya	Tonkpi	0	1
Saraya	Bafing	0	1
Saraya	Bomi	0	1
Saraya	Bong	0	1
Saraya	Gbarpolu	0	1
Saraya	GrandCapeMount	0	1
Saraya	GrandBassa	0	1
Saraya	GrandGedeh	0	1
Saraya	GrandKru	0	1
Saraya	Lofa	0	1
Saraya	Margibi	0	1
Saraya	Maryland	0	1
Saraya	Montserrado	0	1
Saraya	Nimba	0	1
Saraya	RiverCess	0	1
Saraya	RiverGee	0	1
Saraya	Sinoe	0	1
Saraya	Boffa	0	1
Saraya	Boke	0	1
Saraya	Fria	0	1
Saraya	Gaoual	0	1
Saraya	Koundara	0	1
Saraya	Conakry	0	1
Saraya	Dabola	0	1
Saraya	Dinguiraye	0	1
Saraya	Faranah	0	1
Saraya	Kissidougou	0	1
Saraya	Kerouane	0	1
Saraya	Kankan	0	1
Saraya	Kouroussa	0	1
Saraya	Mandiana	0	1
Saraya	Siguiri	0	1
Saraya	Coyah	0	1
Saraya	Dubreka	0	1
Saraya	Forecariah	0	1
Saraya	Kindia	0	1
Saraya	Telimele	0	1
Saraya	Koubia	0	1
Saraya	Lelouma	0	1
Saraya	Labe	0	1
Saraya	Mali	1	1
Saraya	Tougue	0	1
Saraya	Dalaba	0	1
Saraya	Mamou	0	1
Saraya	Pita	0	1
Saraya	Beyla	0	1
Saraya	Gueckedou	0	1
Saraya	Lola	0	1
Saraya	Macenta	0	1
Saraya	Nzerekore	0	1
Saraya	Yamou	0	1
Saraya	Kailahun	0	1
Saraya	Kenema	0	1
Saraya	Kono	0	1
Saraya	Bombali	0	1
Saraya	Kambia	0	1
Saraya	Koinadugu	0	1
Saraya	PortLoko	0	1
Saraya	Tonkolili	0	1
Saraya	Bo	0	1
Saraya	Bonthe	0	1
Saraya	Moyamba	0	1
Saraya	Pujehun	0	1
Saraya	WesternRural	0	1
Saraya	WesternUrban	0	1
Saraya	Gabu	0	1
Saraya	Tombali	0	1
Velingara	Tambacounda	1	0
Velingara	Kenieba	0	1
Velingara	Kita	0	1
